weekday,hour,average_speed,peak
Friday,0,48.3583864988608,4
Friday,1,49.0192983338202,4
Friday,2,47.8514523022988,4
Friday,3,48.4781675438554,4
Friday,4,47.0804235934884,4
Friday,5,46.9550178551807,4
Friday,6,44.6075663932877,4
Friday,7,28.2161062806173,2
Friday,8,14.5442020591236,1
Friday,9,17.2861900813636,1
Friday,10,22.57863877,2
Friday,11,22.0047379164198,2
Friday,12,16.865443766875,1
Friday,13,18.3599917285714,1
Friday,14,16.754340229,1
Friday,15,17.2130873484235,1
Friday,16,15.2223014821818,1
Friday,17,11.4638881974659,1
Friday,18,10.6897818503049,1
Friday,19,20.7708865689873,2
Friday,20,35.9823991961111,3
Friday,21,43.9478432656627,4
Friday,22,34.0508527191358,3
Friday,23,37.1706088444445,3
Monday,0,47.556932249625,4
Monday,1,47.6641007490244,4
Monday,2,46.850480022907,4
Monday,3,47.7801739065909,4
Monday,4,47.0195679752325,4
Monday,5,46.4785036978313,4
Monday,6,44.3746039157303,4
Monday,7,28.5559600304819,2
Monday,8,16.8600335278025,1
Monday,9,19.4375904313953,1
Monday,10,26.0140145491765,2
Monday,11,24.0371014858391,2
Monday,12,20.2164897425301,2
Monday,13,21.3928863904651,2
Monday,14,18.0790322692973,1
Monday,15,18.7966751926914,1
Monday,16,18.7408494919059,1
Monday,17,14.4116251422963,1
Monday,18,12.186349200963,1
Monday,19,23.6069189773929,2
Monday,20,37.0223684255814,3
Monday,21,44.4213988348276,4
Monday,22,40.5257010636471,4
Monday,23,44.2242846158025,4
Saturday,0,47.5032345303615,4
Saturday,1,48.9848557498851,4
Saturday,2,48.0859305921795,4
Saturday,3,48.8229944897701,4
Saturday,4,48.2503861262791,4
Saturday,5,47.5114352747674,4
Saturday,6,47.0848233896552,4
Saturday,7,41.5097656426829,4
Saturday,8,28.2451129495122,2
Saturday,9,25.1096399225882,2
Saturday,10,26.2401870039286,2
Saturday,11,25.68654869875,2
Saturday,12,22.0658869513158,2
Saturday,13,19.0963862600471,1
Saturday,14,19.1394481558452,1
Saturday,15,20.5953779827356,2
Saturday,16,20.9727782783293,2
Saturday,17,19.9217314369643,1
Saturday,18,18.712149038131,1
Saturday,19,30.9347069857303,3
Saturday,20,40.6816854405953,4
Saturday,21,38.8259400601124,3
Saturday,22,33.8767083597531,3
Saturday,23,34.7096997009756,3
Sunday,0,44.8214332545882,4
Sunday,1,47.005832758,4
Sunday,2,46.9557931720482,4
Sunday,3,47.0946324747059,4
Sunday,4,47.1807527073171,4
Sunday,5,46.323546596125,4
Sunday,6,45.5722027090362,4
Sunday,7,43.1247243189157,4
Sunday,8,44.4309022295349,4
Sunday,9,41.4607584445122,4
Sunday,10,40.6664255272093,4
Sunday,11,39.9722019791111,3
Sunday,12,40.9010410253012,4
Sunday,13,41.6692729954217,4
Sunday,14,41.1123406436747,4
Sunday,15,39.6740170872369,3
Sunday,16,38.4027387406667,3
Sunday,17,39.7839623566667,3
Sunday,18,35.7941089798837,3
Sunday,19,43.3699340182143,4
Sunday,20,44.2147450744578,4
Sunday,21,36.5873788486207,3
Sunday,22,35.5056899677012,3
Sunday,23,44.5624105929885,4
Thursday,0,48.0823876454118,4
Thursday,1,48.6074903609091,4
Thursday,2,47.4625725238372,4
Thursday,3,48.3466754380952,4
Thursday,4,47.4685960377108,4
Thursday,5,46.8698205074713,4
Thursday,6,44.7380665334118,4
Thursday,7,27.8447044117647,2
Thursday,8,14.7753740468023,1
Thursday,9,17.6208075855412,1
Thursday,10,23.9973809961905,2
Thursday,11,23.3042466493902,2
Thursday,12,18.8288681252169,1
Thursday,13,20.0465928978148,2
Thursday,14,18.2223260756747,1
Thursday,15,18.88032013725,1
Thursday,16,16.7255572771342,1
Thursday,17,12.4297695300854,1
Thursday,18,11.0573383754835,1
Thursday,19,22.193875184,2
Thursday,20,37.1579571849438,3
Thursday,21,43.6143748808861,4
Thursday,22,36.5949826067442,3
Thursday,23,41.8688835469512,4
Tuesday,0,47.9004666437975,4
Tuesday,1,48.3298751709091,4
Tuesday,2,47.1101877214286,4
Tuesday,3,47.8092021820482,4
Tuesday,4,47.0926704044048,4
Tuesday,5,46.6648994955844,4
Tuesday,6,44.386788312,4
Tuesday,7,27.5642819672619,2
Tuesday,8,14.7115299947674,1
Tuesday,9,17.882626376725,1
Tuesday,10,25.1604329163415,2
Tuesday,11,23.442697609079,2
Tuesday,12,19.1560170227586,1
Tuesday,13,19.9886870336145,1
Tuesday,14,16.8195392477662,1
Tuesday,15,18.9306865279529,1
Tuesday,16,17.8586028410122,1
Tuesday,17,13.4599088309419,1
Tuesday,18,11.6295869940123,1
Tuesday,19,21.8707993851163,2
Tuesday,20,36.0529944273863,3
Tuesday,21,44.2088860641667,4
Tuesday,22,39.1731486498781,3
Tuesday,23,43.8418840312941,4
Wednesday,0,47.9899918331818,4
Wednesday,1,48.8432708467073,4
Wednesday,2,47.3639600028395,4
Wednesday,3,47.9015744344304,4
Wednesday,4,47.2734517165385,4
Wednesday,5,47.062542203038,4
Wednesday,6,44.1126280131169,4
Wednesday,7,27.3561867007229,2
Wednesday,8,14.8206704974762,1
Wednesday,9,17.2110223871084,1
Wednesday,10,23.5459876452326,2
Wednesday,11,23.5307808113483,2
Wednesday,12,18.0628641054048,1
Wednesday,13,19.0998446701176,1
Wednesday,14,16.7424146775309,1
Wednesday,15,18.6948339378658,1
Wednesday,16,17.2221501894286,1
Wednesday,17,12.3013383708941,1
Wednesday,18,10.2933747177403,1
Wednesday,19,20.8451257555696,2
Wednesday,20,36.1024340736145,3
Wednesday,21,44.4256870246429,4
Wednesday,22,40.16014631,4
Wednesday,23,44.0542836535802,4
