year,month,day,rainfall
2017,1,1,0
2017,1,2,0
2017,1,3,0
2017,1,4,0
2017,1,5,0
2017,1,6,0
2017,1,7,0
2017,1,8,0
2017,1,9,0
2017,1,10,0
2017,1,11,0
2017,1,12,0
2017,1,13,0.5
2017,1,14,1
2017,1,15,4
2017,1,16,0.5
2017,1,17,0
2017,1,18,0
2017,1,19,0
2017,1,20,0
2017,1,21,0
2017,1,22,0
2017,1,23,0
2017,1,24,0
2017,1,25,0
2017,1,26,0
2017,1,27,0
2017,1,28,0
2017,1,29,6
2017,1,30,4.5
2017,1,31,0
2017,2,1,0
2017,2,2,0
2017,2,3,0
2017,2,4,1.5
2017,2,5,2
2017,2,6,0
2017,2,7,0
2017,2,8,0.5
2017,2,9,0
2017,2,10,0
2017,2,11,0
2017,2,12,0
2017,2,13,0
2017,2,14,0
2017,2,15,0
2017,2,16,0
2017,2,17,0
2017,2,18,0
2017,2,19,0
2017,2,20,0
2017,2,21,3.5
2017,2,22,10.5
2017,2,23,0
2017,2,24,0
2017,2,25,1
2017,2,26,1
2017,2,27,0
2017,2,28,0
2017,3,1,0
2017,3,2,0
2017,3,3,0
2017,3,4,0
2017,3,5,0
2017,3,6,0
2017,3,7,0
2017,3,8,2.5
2017,3,9,1
2017,3,10,0.5
2017,3,11,2
2017,3,12,3
2017,3,13,0
2017,3,14,13
2017,3,15,0
2017,3,16,0
2017,3,17,0.5
2017,3,18,1
2017,3,19,11
2017,3,20,0
2017,3,21,0
2017,3,22,1
2017,3,23,0
2017,3,24,0.5
2017,3,25,0
2017,3,26,1
2017,3,27,0
2017,3,28,0
2017,3,29,0
2017,3,30,0
2017,3,31,20.5
2017,4,1,0
2017,4,2,0
2017,4,3,0
2017,4,4,0
2017,4,5,0
2017,4,6,0.5
2017,4,7,0
2017,4,8,0
2017,4,9,0
2017,4,10,0
2017,4,11,2.5
2017,4,12,13
2017,4,13,0
2017,4,14,0
2017,4,15,0
2017,4,16,0
2017,4,17,0
2017,4,18,0
2017,4,19,0
2017,4,20,3.5
2017,4,21,15.5
2017,4,22,9
2017,4,23,1
2017,4,24,0.5
2017,4,25,12.5
2017,4,26,3.5
2017,4,27,7.5
2017,4,28,0
2017,4,29,0
2017,4,30,0
2017,5,1,0
2017,5,2,0
2017,5,3,0
2017,5,4,46.5
2017,5,5,0
2017,5,6,0
2017,5,7,0
2017,5,8,13
2017,5,9,7
2017,5,10,0
2017,5,11,0
2017,5,12,0
2017,5,13,5
2017,5,14,0.5
2017,5,15,20
2017,5,16,9.5
2017,5,17,0
2017,5,18,0
2017,5,19,0.5
2017,5,20,2
2017,5,21,14.5
2017,5,22,18
2017,5,23,24.5
2017,5,24,210
2017,5,25,0
2017,5,26,0
2017,5,27,0
2017,5,28,0
2017,5,29,0
2017,5,30,0
2017,5,31,0
2017,6,1,0
2017,6,2,0
2017,6,3,0
2017,6,4,1.5
2017,6,5,0
2017,6,6,2.5
2017,6,7,11
2017,6,8,0
2017,6,9,0
2017,6,10,0
2017,6,11,0
2017,6,12,51
2017,6,13,216
2017,6,14,16.5
2017,6,15,18
2017,6,16,17.5
2017,6,17,147
2017,6,18,27.5
2017,6,19,32.5
2017,6,20,21
2017,6,21,111
2017,6,22,0
2017,6,23,0
2017,6,24,6.5
2017,6,25,4
2017,6,26,3
2017,6,27,0.5
2017,6,28,0
2017,6,29,0
2017,6,30,0
2017,7,1,11.5
2017,7,2,3.5
2017,7,3,2.5
2017,7,4,47
