date,year,month,day,start,start_hour,end,end_hour,duration_mins,type,,
31.10.2017,2017,10,31,09:23,9,10:00,10,37,TKO_Tunnel_Accident,,
01.11.2017,2017,11,1,19:27,19,19:53,19,26,TKO_Road_Accident,,
03.11.2017,2017,11,3,08:15,8,Not known,9,,TKO_Tunnel_Accident,Need Assumption,
04.11.2017,2017,11,4,19:35,19,19:45,19,10,TKO_Road_Accident,,
06.11.2017,2017,11,6,10:00,10,10:23,10,23,TKO_Road_Accident,,
07.11.2017,2017,11,7,15:50,15,16:29,16,39,TKO_Tunnel_BrokenCar,,
07.11.2017,2017,11,7,16:40,16,17:24,17,44,TKO_Road_BrokenCar,,
18.11.2017,2017,11,18,12:59,12,14:22,14,83,TKO_Road_BrokenCar,,
20.11.2017,2017,11,20,18:42,18,19:17,19,35,TKO_Road_Accident,,
24.11.2017,2017,11,24,18:00,18,19:30,19,30,TKO_Road_Accident,,
26.11.2017,2017,11,26,18:38,18,19:50,19,72,TKO_Tunnel_Accident,,
27.11.2017,2017,11,27,15:05,15,15:28,15,23,TKO_Road_Accident,,
13.12.2017,2017,12,13,07:35,7,09:15,9,100,TKO_Road_Accident,,
13.12.2017,2017,12,13,18:25,18,19:00,19,35,TKO_Road_Accident,,
14.12.2017,2017,12,14,17:40,17,17:58,17,18,TKO_Road_BrokenCar,,
15.12.2017,2017,12,15,16:05,16,16:25,16,20,TKO_Road_BrokenCar,,
16.12.2017,2017,12,16,18:19,18,18:30,18,11,TKO_Road_Accident,,
16.12.2017,2017,12,16,19:40,19,09:55,20,855,TKO_Road_Accident,Outlier, late news report
22.12.2017,2017,12,22,11:30,11,12:30,12,60,TKO_Road_Accident,,
22.12.2017,2017,12,22,16:40,16,17:00,17,20,TKO_Road_Accident,,
27.12.2017,2017,12,27,11:59,11,12:22,12,23,TKO_Road_Accident,,
29.12.2017,2017,12,29,08:55,8,10:05,10,70,TKO_Road_Accident,,
05.01.2018,2018,1,5,09:57,9,10:28,10,31,TKO_Road_Accident,,
07.01.2018,2018,1,7,18:42,18,20:40,20,118,TKO_Road_BrokenCar,,
08.01.2018,2018,1,8,19:48,19,19:56,19,8,TKO_Road_Accident,,
