date,year,month,day,start,start_hour,end,end_hour,duration_mins,type
03.11.2017,2017,11,3,07:10,07,08:15,08,65,Accident
13.11.2017,2017,11,13,08:58,08,09:33,09,35,Accident
29.11.2017,2017,11,29,15:45,15,17:40,17,115,Accident
30.11.2017,2017,11,30,13:26,13,14:29,14,63,Accident
06.12.2017,2017,12,6,09:48,09,10:20,10,32,Accident
18.12.2017,2017,12,18,18:20,18,19:12,19,52,Accident
08.01.2018,2018,1,8,08:32,08,09:04,09,32,Accident
05.02.2018,2018,2,5,18:35,18,19:15,19,40,Accident
05.02.2018,2018,2,5,19:10,19,19:30,19,20,Accident
15.02.2018,2018,2,15,12:00,12,12:15,12,15,Accident
27.02.2018,2018,2,27,07:43,07,08:58,08,75,Accident
28.02.2018,2018,2,28,08:25,08,09:02,09,37,Accident
02.03.2018,2018,3,2,14:50,14,15:40,15,50,Accident
08.03.2018,2018,3,8,19:05,19,19:50,19,45,Accident
14.03.2018,2018,3,14,10:55,10,11:20,11,25,Accident
14.04.2018,2018,4,14,16:00,16,17:08,17,68,Accident
19.04.2018,2018,4,19,18:01,18,18:30,18,29,Accident
26.04.2018,2018,4,26,08:28,08,08:42,08,14,Accident
05.05.2018,2018,5,5,08:02,08,08:28,08,26,Accident
16.05.2018,2018,5,16,18:30,18,19:47,19,77,Accident
16.05.2018,2018,5,16,18:42,18,19:12,19,30,Accident
22.05.2018,2018,5,22,14:55,14,15:34,15,39,Accident
25.05.2018,2018,5,25,07:15,07,08:03,08,48,Accident
28.05.2018,2018,5,28,17:30,17,18:03,18,33,Accident
31.05.2018,2018,5,31,18:58,18,20:30,20,92,Accident
06.06.2018,2018,6,6,17:50,17,19:31,19,101,Accident
11.06.2018,2018,6,11,08:36,08,09:06,09,30,Accident
14.06.2018,2018,6,14,16:50,16,17:50,17,60,Accident
22.06.2018,2018,6,22,09:04,09,09:37,09,33,Accident
29.06.2018,2018,6,29,11:03,11,11:24,11,21,Accident
17.07.2018,2018,7,17,09:37,09,10:30,10,53,Accident
23.07.2018,2018,7,23,08:17,08,09:08,09,51,Accident
06.08.2018,2018,8,6,15:45,15,16:50,16,65,Accident
11.08.2018,2018,8,11,13:40,13,14:22,14,42,Accident
14.08.2018,2018,8,14,08:08,08,09:17,09,69,Accident
17.08.2018,2018,8,17,13:14,13,17:40,17,266,Accident
20.08.2018,2018,8,20,12:10,12,13:19,13,69,Accident
21.08.2018,2018,8,21,08:39,08,09:25,09,46,Accident
29.08.2018,2018,8,29,18:10,18,18:20,18,10,BrokenCar
03.09.2018,2018,9,3,08:27,08,09:01,09,34,BrokenCar
10.09.2018,2018,9,10,18:34,18,19:03,19,29,Accident
12.09.2018,2018,9,12,16:37,16,17:05,17,28,Accident
12.09.2018,2018,9,12,19:42,19,19:58,19,16,Accident
08.10.2018,2018,10,8,07:19,07,07:40,07,21,Accident
10.10.2018,2018,10,10,15:52,15,17:08,17,76,Accident
12.10.2018,2018,10,12,16:45,16,17:40,17,55,Accident
19.10.2018,2018,10,19,19:28,19,20:00,20,32,Accident
23.10.2018,2018,10,23,15:52,15,18:16,18,144,Accident
24.10.2018,2018,10,24,18:33,18,18:40,18,7,BrokenCar
30.10.2018,2018,10,30,07:25,07,08:25,08,60,Accident
01.11.2018,2018,11,1,08:44,08,09:16,09,32,Accident
02.11.2018,2018,11,2,07:54,07,08:18,08,24,Accident
07.11.2018,2018,11,7,16:45,16,17:47,17,62,Accident
10.12.2018,2018,12,10,07:40,07,08:33,08,53,Accident
11.12.2018,2018,12,11,09:17,09,10:22,10,65,Accident
12.12.2018,2018,12,12,08:16,08,08:58,08,42,Accident
17.12.2018,2018,12,17,18:45,18,18:51,18,6,Accident
21.12.2018,2018,12,21,18:21,18,19:05,19,44,BrokenCar
23.12.2018,2018,12,23,09:36,09,10:40,10,64,Accident
