day,month,year,hour,intensity,name,signal,direction,typhoon_greater_8,typhoon_off
11,6,2017,19,Severe Tropical Storm,MERBOK,1,,,
11,6,2017,20,Severe Tropical Storm,MERBOK,1,,,
11,6,2017,21,Severe Tropical Storm,MERBOK,1,,,
11,6,2017,22,Severe Tropical Storm,MERBOK,1,,,
11,6,2017,23,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,0,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,1,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,2,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,3,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,4,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,5,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,6,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,7,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,8,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,9,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,10,Severe Tropical Storm,MERBOK,1,,,
12,6,2017,10,Severe Tropical Storm,MERBOK,3,,,
12,6,2017,11,Severe Tropical Storm,MERBOK,3,,,
12,6,2017,12,Severe Tropical Storm,MERBOK,3,,,
12,6,2017,13,Severe Tropical Storm,MERBOK,3,,,
12,6,2017,14,Severe Tropical Storm,MERBOK,3,,,
12,6,2017,15,Severe Tropical Storm,MERBOK,3,,,Yes
12,6,2017,16,Severe Tropical Storm,MERBOK,3,,,Yes
12,6,2017,17,Severe Tropical Storm,MERBOK,8,NE,Yes,Yes
12,6,2017,18,Severe Tropical Storm,MERBOK,8,NE,Yes,Yes
12,6,2017,19,Severe Tropical Storm,MERBOK,8,NE,Yes,
12,6,2017,20,Severe Tropical Storm,MERBOK,8,NW,Yes,
12,6,2017,21,Severe Tropical Storm,MERBOK,8,NW,Yes,
12,6,2017,22,Severe Tropical Storm,MERBOK,8,NW,Yes,
12,6,2017,23,Severe Tropical Storm,MERBOK,8,NW,Yes,
13,6,2017,0,Severe Tropical Storm,MERBOK,8,NW,Yes,
13,6,2017,1,Severe Tropical Storm,MERBOK,8,SW,Yes,
13,6,2017,2,Severe Tropical Storm,MERBOK,8,SW,Yes,
13,6,2017,3,Severe Tropical Storm,MERBOK,8,SW,Yes,
13,6,2017,4,Severe Tropical Storm,MERBOK,8,SW,Yes,
13,6,2017,11,Severe Tropical Storm,MERBOK,3,,,
22,7,2017,15,Tropical Storm,ROKE,1,,,
22,7,2017,16,Tropical Storm,ROKE,1,,,
22,7,2017,17,Tropical Storm,ROKE,1,,,
22,7,2017,18,Tropical Storm,ROKE,1,,,
22,7,2017,19,Tropical Storm,ROKE,1,,,
22,7,2017,20,Tropical Storm,ROKE,1,,,
22,7,2017,21,Tropical Storm,ROKE,1,,,
22,7,2017,22,Tropical Storm,ROKE,1,,,
22,7,2017,23,Tropical Storm,ROKE,1,,,
23,7,2017,0,Tropical Storm,ROKE,1,,,
23,7,2017,1,Tropical Storm,ROKE,1,,,
23,7,2017,2,Tropical Storm,ROKE,1,,,
23,7,2017,3,Tropical Storm,ROKE,3,,,
23,7,2017,4,Tropical Storm,ROKE,3,,,
23,7,2017,5,Tropical Storm,ROKE,3,,,
23,7,2017,6,Tropical Storm,ROKE,3,,,
23,7,2017,7,Tropical Storm,ROKE,3,,,
23,7,2017,8,Tropical Storm,ROKE,3,,,
23,7,2017,9,Tropical Storm,ROKE,8,NW,Yes,
23,7,2017,10,Tropical Storm,ROKE,8,NW,Yes,
23,7,2017,11,Tropical Storm,ROKE,8,NW,Yes,
23,7,2017,12,Tropical Storm,ROKE,8,NW,Yes,
23,7,2017,13,Tropical Storm,ROKE,8,NW,Yes,
23,7,2017,14,Tropical Storm,ROKE,3,,,
23,7,2017,15,Tropical Storm,ROKE,3,,,
23,7,2017,15,Tropical Storm,ROKE,1,,,
23,7,2017,16,Tropical Storm,ROKE,1,,,
23,7,2017,17,Tropical Storm,ROKE,1,,,
23,7,2017,18,Tropical Storm,ROKE,1,,,
23,7,2017,19,Tropical Storm,ROKE,1,,,
22,8,2017,8,Super Typhoon,HATO,1,,,
22,8,2017,9,Super Typhoon,HATO,1,,,
22,8,2017,10,Super Typhoon,HATO,1,,,
22,8,2017,11,Super Typhoon,HATO,1,,,
22,8,2017,12,Super Typhoon,HATO,1,,,
22,8,2017,13,Super Typhoon,HATO,1,,,
22,8,2017,14,Super Typhoon,HATO,1,,,
22,8,2017,15,Super Typhoon,HATO,1,,,
22,8,2017,16,Super Typhoon,HATO,1,,,
22,8,2017,17,Super Typhoon,HATO,1,,,
22,8,2017,18,Super Typhoon,HATO,1,,,
22,8,2017,18,Super Typhoon,HATO,3,,,
22,8,2017,19,Super Typhoon,HATO,3,,,
22,8,2017,20,Super Typhoon,HATO,3,,,
22,8,2017,21,Super Typhoon,HATO,3,,,
22,8,2017,22,Super Typhoon,HATO,3,,,
22,8,2017,23,Super Typhoon,HATO,3,,,
23,8,2017,0,Super Typhoon,HATO,3,,,
23,8,2017,1,Super Typhoon,HATO,3,,,
